Neighborhood;Total;Native;Asian;Black;Pacific;White;Other;Two or More Races;Hispanic
City of L.A.;3881041;40695;458721;332173;5709;1089546;952377;493491;1865763
Adams-Normandie;6867;88;332;863;49;560;2798;868;4981
Arleta;35427;373;4147;179;41;3377;11136;6059;27293
Arlington Heights;13703;54;1806;2215;203;570;4826;1669;8759
Arlington Park;3030;54;34;1180;0;126;964;78;1696
Atwater Village;10233;205;2586;93;0;3761;2046;1005;3400
Baldwin Hills;25430;226;637;14153;31;2207;4227;2802;8144
Bel Air;6835;8;636;192;0;5298;93;524;309
Beverly Crest;5049;0;229;139;0;4141;41;374;249
Beverly Glen;3967;0;396;63;0;2784;88;603;435
Beverlywood-Castle Heights;15782;90;2121;289;0;10445;1024;1140;2002
Boyle Heights;88276;1248;2075;1274;64;2056;55450;10258;82452
Brentwood;32695;31;2457;457;0;25081;454;3170;2881
Broadway-Manchester;13105;144;37;2587;0;55;5109;3185;10348
Byzantine-Latino Quarter;21361;392;3447;465;34;724;8527;3621;16550
Cadillac-Corning;6047;115;301;1378;7;972;1743;1092;3208
Cahuenga Pass;3438;0;168;70;0;2454;52;294;585
Canoga Park;61168;569;8462;2447;16;14286;21686;6286;34527
Carthay;1439;0;68;39;0;1065;0;244;115
Central-Alameda;26480;579;173;2256;21;172;12432;4283;23589
Century City;2627;0;473;61;0;1807;73;213;166
Century Cove;19256;417;145;4075;10;61;6566;2695;14883
Century Palms;12000;538;178;2091;0;160;3474;2623;9210
Chatsworth;39732;229;6776;2474;59;17053;4324;5746;11442
Cheviot Hills;3763;0;212;39;0;2969;77;376;268
Chinatown & Historic L.A.;21840;294;6737;3934;25;3141;4348;2119;6917
Country Club Park;10541;8;2900;1893;20;1544;1893;1106;3955
Crestview;15420;28;1426;3590;0;7281;1236;1202;2308
Cypress Park;13854;412;2326;250;0;2036;4518;2265;8839
Del Rey;33762;129;4969;1826;18;13470;3871;4753;11589
Downtown;58912;777;14833;10373;168;14453;7058;6910;16123
Eagle Rock;35515;629;8607;619;38;10952;5075;6032;13058
East Hollywood;41323;325;5823;1385;87;13166;14143;3333;19918
Echo Park;29805;175;4477;737;52;9538;9154;3388;13675
El Sereno;39985;531;4744;947;0;3203;17844;5367;30771
Elysian Park;175;0;92;0;1;15;48;10;63
