neighborhood;region;number of people in prison;census population;total population;inprisonment rate per 100000;
Arlington Heights;Central L.A.;117;20188;20305;576;
Beverly Grove;Central L.A.;48;26392;26440;182;
Carthay;Central L.A.;19;5144;5163;368;
Chinatown;Central L.A.;42;15550;15592;269;
Downtown;Central L.A.;262;66555;66196;396;
East Hollywood;Central L.A.;250;61439;61689;405;
Echo Park;Central L.A.;127;33566;33693;377;
Elysian Park;Central L.A.;16;2090;2106;760;
Elysian Valley;Central L.A.;21;6123;6144;342;
Fairfax;Central L.A.;28;12895;12923;217;
Griffith Park;Central L.A.;7;1106;1113;629;
Hancock Park;Central L.A.;17;10627;10644;160;
Harvard Heights;Central L.A.;73;17677;17750;411;
Hollywood;Central L.A.;238;73475;73705;323;
Hollywood Hills;Central L.A.;47;24162;24189;194;
Hollywood Hills West;Central L.A.;39;17425;17464;223;
Koreatown;Central L.A.;349;104558;104907;333;
Larchmont;Central L.A.;24;7835;7859;305;
Los Feliz;Central L.A.;74;32701;32775;226;
Mid-City;Central L.A.;274;49723;49997;548;
Mid-Wilshire;Central L.A.;122;46039;46161;264;
Pico-Union;Central L.A.;177;39301;39478;448;
Silver Lake;Central L.A.;103;29186;29265;352;
Westlake;Central L.A.;430;106288;106566;404;
Windsor Square;Central L.A.;15;5441;5456;275;
Boyle Heights;Eastside;453;87912;88362;513;
El Sereno;Eastside;174;41951;42125;413;
Lincoln Heights;Eastside;145;27181;27326;531;
Harbor City;Harbor;90;26948;27038;333;
Harbor Gateway;Harbor;204;46603;46807;436;
San Pedro;Harbor;340;83623;82405;413;
Wilmington;Harbor;297;54842;55139;539;
Atwater Village;Northeast L.A.;48;13964;14012;343;
Cypress Park;Northeast L.A.;47;8056;8103;580;
Eagle Rock;Northeast L.A.;84;33339;33423;251;
Glassell Park;Northeast L.A.;84;24117;24201;347;
Highland Park;Northeast L.A.;220;51459;51679;426;
Montecito Heights;Northeast L.A.;73;16497;16570;441;
Mount Washington;Northeast L.A.;56;12599;12655;443;
Arleta;San Fernando Valley;105;32771;32876;319;
Canoga Park;San Fernando Valley;201;60318;60519;332;
Chatsworth;San Fernando Valley;106;48407;48513;219;
Encino;San Fernando Valley;106;46194;46300;229;
Granada Hills;San Fernando Valley;166;55379;55545;299;
Lake Balboa;San Fernando Valley;81;26889;26970;300;
Lake View Terrace;San Fernando Valley;44;12474;12518;351;
Mission Hills;San Fernando Valley;72;20033;20105;358;
North Hills;San Fernando Valley;188;58093;58281;323;
North Hollywood;San Fernando Valley;254;78921;79175;321;
Northridge;San Fernando Valley;152;65809;65946;230;
Pacoima;San Fernando Valley;389;77296;77685;501;
Panorama City;San Fernando Valley;286;68441;68727;416;
